frame,yaw,pitch
404,-0.37495,0.32224
405,-0.3304,0.32755
406,-0.3304,0.32755
407,-0.35821,0.34767
408,-0.33905,0.32387
409,-0.35354,0.29599
410,-0.34449,0.3497
411,-0.36034,0.27644
412,-0.36034,0.27644
413,-0.39031,0.2796
414,-0.37734,0.28152
415,-0.32404,0.29815
416,-0.20739,0.23667
417,-0.20739,0.23667
418,-0.23055,0.29091
419,-0.19569,0.20459
420,-0.13226,0.26825
421,-0.09974,0.24002
422,-0.05229,0.19603
423,-0.05229,0.19603
424,-0.04173,0.21934
425,0.00557,0.25561
426,-0.00302,0.24274
427,-0.04043,0.26628
428,0.02918,0.23582
429,0.02918,0.23582
430,0.02844,0.25667
431,0.02464,0.23405
432,0.02564,0.22605
433,0.02482,0.2408
434,0.02482,0.2408
435,0.03866,0.26445
436,0.01296,0.27202
437,0.02798,0.22617
438,0.03986,0.26045
439,0.01555,0.25815
440,0.01555,0.25815
441,0.00619,0.2545
442,0.00325,0.22297
443,0.0163,0.24787
444,0.01809,0.23327
445,0.01809,0.23327
446,0.01887,0.2464
447,0.03492,0.25059
448,0.01322,0.23687
449,0.03998,0.26631
450,0.02231,0.2278
451,0.02231,0.2278
452,0.00891,0.23709
453,-0.00128,0.19172
454,0.05283,0.24019
455,0.03268,0.23707
456,-0.01096,0.22677
457,-0.01096,0.22677
458,0.02692,0.24675
459,0.01774,0.20582
460,0.04769,0.22791
461,0.02979,0.24194
462,0.02979,0.24194
463,-0.00649,0.22548
464,0.02362,0.24444
465,0.0128,0.25188
466,0.05224,0.24272
467,0.0462,0.25114
468,0.0462,0.25114
469,0.0417,0.26428
470,-0.00204,0.22562
471,0.03405,0.25374
472,0.01247,0.2412
473,-0.01508,0.21151
474,-0.01508,0.21151
475,-0.01133,0.27387
476,0.02164,0.22169
477,0.03586,0.24572
478,0.02974,0.2824
479,0.01927,0.25192
480,0.01927,0.25192
481,0.01996,0.22333
482,-0.00292,0.26308
483,-0.00171,0.2591
484,0.01202,0.26943
485,0.05403,0.26354
486,0.05403,0.26354
487,0.02361,0.24805
488,0.02771,0.25764
489,0.03517,0.24258
490,0.00424,0.26848
491,0.00424,0.26848
492,0.02462,0.23086
493,0.01045,0.26604
494,0.03625,0.22794
495,0.02618,0.23061
496,-0.01163,0.26221
497,-0.01163,0.26221
498,0.0441,0.23894
499,0.01939,0.24814
500,-0.00074,0.22843
501,0.01293,0.24473
502,-0.01338,0.23449
503,-0.01338,0.23449
504,0.01833,0.23377
505,0.02401,0.23988
506,0.01222,0.22945
507,0.04261,0.27356
508,0.04261,0.27356
